Bepaling,Materiaal,REFERENCE_UNIT,LIS,LIS_adjusted,loinc,LONG_COMMON_NAME,lab_naam
ALAT(SGPT),Bloed,U/L 37C,RPT;BL,RPT-BL,1742-6,Alanine aminotransferase [Enzymatic activity/volume] in Serum or Plasma,LABTRAIN
ALAT(SGPT),Bloed Veneus,U/L 37C,RPT;BL,RPT-BL,1742-6,Alanine aminotransferase [Enzymatic activity/volume] in Serum or Plasma,LABTRAIN
ALAT,Bloed,U/L,K_ALAT_HP,K_ALAT_HP,1743-4,Alanine aminotransferase [Enzymatic activity/volume] in Serum or Plasma by With P-5'-P,VUMC LAB GLIMS
ALAT,Bloed,U/L,K_ALAT_HP,K_ALAT_HP,1743-4,Alanine aminotransferase [Enzymatic activity/volume] in Serum or Plasma by With P-5'-P,GLIMS
ALAT,,U/L,K_ALAT_HP,K_ALAT_HP,1743-4,Alanine aminotransferase [Enzymatic activity/volume] in Serum or Plasma by With P-5'-P,VUMC LAB GLIMS
ALAT,Bloed,U/L 37¶C,RPT-BL,RPT-BL,1743-4,Alanine aminotransferase [Enzymatic activity/volume] in Serum or Plasma by With P-5'-P,AMC LAB LABTRAIN
ALAT,,U/L 37¶C,RPT-BL,RPT-BL,1743-4,Alanine aminotransferase [Enzymatic activity/volume] in Serum or Plasma by With P-5'-P,AMC LAB LABTRAIN
Alb.Chem,Overig,g/L,K_ALBC_OV,K_ALBC_OV,1747-5,Albumin [Mass/volume] in Body fluid,GLIMS
Albumine (ALBI),Overige,g/L,ALBI;O,ALBI-O,1747-5,Albumin [Mass/volume] in Body fluid,LABTRAIN
ALBUMINE (OVERIG),Overig,g/L,ALBI-O,ALBI-O,1747-5,Albumin [Mass/volume] in Body fluid,AMC LAB LABTRAIN
ALBUMINE (OVERIG),Vocht,g/L,ALBI-O,ALBI-O,1747-5,Albumin [Mass/volume] in Body fluid,AMC LAB LABTRAIN
ALBUMINE VOCHT,Overig,g/L,ALBU-O,ALBU-O,1747-5,Albumin [Mass/volume] in Body fluid,AMC LAB LABTRAIN
ALB.CHEM,Overig,g/L,K_ALBC_HP,K_ALBC_HP,1747-5,Albumin [Mass/volume] in Body fluid,VUMC LAB GLIMS
ALB.CHEM (OVERIG),,g/L,K_ALBC_OV,K_ALBC_OV,1747-5,Albumin [Mass/volume] in Body fluid,VUMC LAB GLIMS
Albumine (imm.),Liquor,mg/L,K_ALBI_LI,K_ALBI_LI,2861-3,Albumin [Mass/volume] in Cerebral spinal fluid by Electrophoresis,GLIMS
Albumine Liq,Liquor,mg/L,ALBN;L,ALBN-L,2861-3,Albumin [Mass/volume] in Cerebral spinal fluid by Electrophoresis,LABTRAIN
ALBUMINE (IMM.) (LIQUOR),Bloed,mg/L,K_ALBI_LI,K_ALBI_LI,2861-3,Albumin [Mass/volume] in Cerebral spinal fluid by Electrophoresis,VUMC LAB GLIMS
ALBUMINE (IMM.) (LIQUOR),Liquor,mg/L,K_ALBI_LI,K_ALBI_LI,2861-3,Albumin [Mass/volume] in Cerebral spinal fluid by Electrophoresis,VUMC LAB GLIMS
Alb.Chem ascitesvocht,Ascitesvocht,g/L,K_ALBC_AS,K_ALBC_AS,1749-1,Albumin [Mass/volume] in Peritoneal fluid,GLIMS
ALB.CHEM (ASCITESVOCHT),Bloed,g/L,K_ALBC_AS,K_ALBC_AS,1749-1,Albumin [Mass/volume] in Peritoneal fluid,VUMC LAB GLIMS
ALB.CHEM (ASCITESVOCHT),Ascitesvocht,g/L,K_ALBC_AS,K_ALBC_AS,1749-1,Albumin [Mass/volume] in Peritoneal fluid,VUMC LAB GLIMS
ALB.CHEM (ASCITESVOCHT),,g/L,K_ALBC_AS,K_ALBC_AS,1749-1,Albumin [Mass/volume] in Peritoneal fluid,VUMC LAB GLIMS
Alb.Chem pleuravocht,Pleurapunctaat,g/L,K_ALBC_PP,K_ALBC_PP,1748-3,Albumin [Mass/volume] in Pleural fluid,GLIMS
ALB.CHEM (PLEURAVOCHT),,g/L,K_ALBC_PP,K_ALBC_PP,1748-3,Albumin [Mass/volume] in Pleural fluid,VUMC LAB GLIMS
ALB.CHEM (PLEURAVOCHT),Pleurapunctaat,g/L,K_ALBC_PP,K_ALBC_PP,1748-3,Albumin [Mass/volume] in Pleural fluid,VUMC LAB GLIMS
ALB.CHEM (PLEURAVOCHT),Pleuravocht,g/L,K_ALBC_PP,K_ALBC_PP,1748-3,Albumin [Mass/volume] in Pleural fluid,VUMC LAB GLIMS
